CoRE-COFs ID; CoRE-COF-v2.0 ID (Tong et al.); name; dimension; atom types; reference; duplicate found; modifications;
17080C; 202; PyTTA-BFBIm-iCOF; 2D; H,C,N,Br; Angew. Chem. Int. Ed., 2017, 56, 4982-4986; none; none;
17090N; 136; LZU-301-sol; 3D; H,C,N; J. Am. Chem. Soc., 2017, 139, 4995-4998; none; none;
17091N; 137; LZU-301; 3D; H,C,N; J. Am. Chem. Soc., 2017, 139, 4995-4998; none; none;
17100N; 182; PI-COF-SR; 2D; H,C,N,O; Sci. Rep., 2017, 7, 557 ; none; replicated 2x in C direction;
17110N; 205; Salen-COF; 2D; H,C,N,O; J. Am. Chem. Soc., 2017, 139, 6042-6045; none; replicated 2x in C direction;
17120N; 034; CCOF-MPC; 2D; H,C,N; Chem. Mater., 2017, 29, 6518-6524; none; none;
17130N; 233; TP-COF-BZ; 2D; H,C,N; J. Am. Chem. Soc., 2017, 139, 6736-6743; none; replicated 2x in C direction;
17131N; 234; TP-COF-DAB; 2D; H,C,N; J. Am. Chem. Soc., 2017, 139, 6736-6743; none; replicated 2x in C direction;
17140N; 117; FL-COF-1; 2D; H,C,N; ACS Appl. Mater. Inter., 2017, 9, 7108-7114; none; add a second H to penthagonal C, replicated 2x in C direction;
17150N; 101; DMTA-TPB1/2'; 2D; H,C,N,O; J. Am. Chem. Soc., 2017, 139, 8277-8285; none; replicated 2x in C direction;
17151N; 102; DMTA-TPB1/3'; 2D; H,C,N,O; J. Am. Chem. Soc., 2017, 139, 8277-8285; none; replicated 2x in C direction;
17152N; 103; DMTA-TPB1/4'; 2D; H,C,N,O; J. Am. Chem. Soc., 2017, 139, 8277-8285; none; replicated 2x in C direction;
17153N; 104; DMTA-TPB1/5'; 2D; H,C,N,O; J. Am. Chem. Soc., 2017, 139, 8277-8285; none; replicated 2x in C direction;
17154N; 105; DMTA-TPB2; 2D; H,C,N,O; J. Am. Chem. Soc., 2017, 139, 8277-8285; none; replicated 2x in C direction;
17155N; 106; DMTA-TPB3; 2D; H,C,N,O; J. Am. Chem. Soc., 2017, 139, 8277-8285; none; replicated 2x in C direction;
17156N; 107; DMTA-TPB4; 2D; H,C,N,O; J. Am. Chem. Soc., 2017, 139, 8277-8285; none; none;
17160N; 002; 3D-CuPor-COF-0P; 3D; H,C,N,Cu; J. Am. Chem. Soc., 2017, 139, 8705-8709 ; none; none;
17161N; 003; 3D-CuPor-COF; 3D; H,C,N,Cu; J. Am. Chem. Soc., 2017, 139, 8705-8709 ; none; none;
17162N; 004; 3D-Por-COF-0P; 3D; H,C,N; J. Am. Chem. Soc., 2017, 139, 8705-8709 ; none; none;
17163N; 005; 3D-Por-COF; 3D; H,C,N; J. Am. Chem. Soc., 2017, 139, 8705-8709 ; none; none;
17170N; 204; SA-COF; 2D; H,C,N,O; J. Am. Chem. Soc., 2017, 139, 8897-8904; none; replicated 2x in C direction;
17180N; 226; TDFP-1; 2D; H,C,N,O; ChemSusChem, 2017, 10, 921-929; none; added H on N, reverted C N, replicated 2x in C direction;
17181N; 227; TFB-COF; 2D; H,C,N,O; ChemSusChem, 2017, 10, 921-929; none; replicated 2x in C direction;
17190N; miss; TPA-COF-2-AA; 2D; H,C,N; J. Am. Chem. Soc., 2017, 139 , 8698-8704; none; replicated 2x in C direction;
17191N; miss; TPA-COF; 2D; H,C,N; J. Am. Chem. Soc., 2017, 139 , 8698-8704; none; replicated 2x in C direction;
17200N; miss; COF-112; 3D; H,B,C,N,F,Co; J. Am. Chem. Soc., 2017, 139, 13166-13172; none; none;
17210N; miss; Tp-Ttba; 2D; H,C,N,O; J. Am. Chem. Soc., 2017, 139, 13083-13091; none; replicated 2x in C direction;
17220N; miss; Thio-COF; 2D; H,C,N,O,S; J. Am. Chem. Soc., 2017, 139, 17082-17088; none; removed H from CN, replicated 2x in C direction;
18000C; miss; Si-COF-5-air; 3D; H,C,O,Na,Si; J. Am. Chem. Soc., 2018, 140, 5330-5333; none; none;
18001C; miss; Si-COF-5; 3D; H,C,O,Na,Si; J. Am. Chem. Soc., 2018, 140, 5330-5333; none; none;
18010N; miss; CCOF-5; 3D; H,C,N,O; J. Am. Chem. Soc., 2018, 140, 892-895; none; none;
18011N; miss; CCOF-6; 3D; H,C,N,O; J. Am. Chem. Soc., 2018, 140, 892-895; none; none;
18020N; miss; COF-DL229 2-fold; 3D; H,C,N; Chem. Eur. J., 2018, 24, 585-589; none; none;
18021N; miss; COF-DL229 4-fold; 3D; H,C,N; Chem. Eur. J., 2018, 24, 585-589; none; cell dim wrong then scaled;
18022N; miss; COF-DL229 6-fold; 3D; H,C,N; Chem. Eur. J., 2018, 24, 585-589; none; none;
18023N; miss; COF-DL229 8-fold; 3D; H,C,N; Chem. Eur. J., 2018, 24, 585-589; none; none;
18030N; miss; TPE-COF-I; 2D; H,C,N; Chem. Mater., 2018, 30, 1762-1768; none; replicated 2x in C direction;
18031N; miss; TPE-COF-II; 2D; H,C,N,O; Chem. Mater., 2018, 30, 1762-1768; none; replicated 2x in C direction;
18032N; miss; TPE-COF-III; 2D; H,C,N; Chem. Mater., 2018, 30, 1762-1768; none; replicated 2x in C direction;
18033N; miss; TPE-COF-IV; 2D; H,C,N; Chem. Mater., 2018, 30, 1762-1768; none; replicated 2x in C direction;
18040N; miss; 3D-OH-COF; 3D; H,C,N,O; Angew. Chem. Int. Ed., 2018, 130, 6150-6156; none; none;
18041N; miss; 3D-COOH-COF; 3D; H,C,N,O; Angew. Chem. Int. Ed., 2018, 130, 6150-6156; none; fixed disorder;
18050N; miss; [OH],0%-TD-COF; 2D; H,C,N,O; ACS Appl. Mater. Inter., 2018, 10, 41350-41358; none; replicated 2x in C direction;
18060N; miss; Tf-DHzDPr; 2D; H,C,N,O; Nat. Commun., 2018, 9, 2335; none; replicated 2x in C direction;
18061N; miss; Tf-DHzDAll; 2D; H,C,N,O; Nat. Commun., 2018, 9, 2335; none; replicated 2x in C direction;
18070N; miss; COF-HQ; 2D; H,C,N,O; ACS Appl. Mater. Inter., 2018, 10, 15364-15368; none; replicated 2x in C direction;
18080N; miss; COF-366-Co; 2D; H,C,N,Co; J. Am. Chem. Soc., 2018, 140, 1116-1122; none; replicated 2x in C direction;
18081N; miss; COF-366-F4-Co; 2D; H,C,N,F,Co; J. Am. Chem. Soc., 2018, 140, 1116-1122; none; replicated 2x in C direction;
18082N; miss; COF-366-F-Co; 2D; H,C,N,F,Co; J. Am. Chem. Soc., 2018, 140, 1116-1122; none; replicated 2x in C direction;
18083N; miss; COF-366-(OMe)2-Co; 2D; H,C,N,O,Co; J. Am. Chem. Soc., 2018, 140, 1116-1122; none; replicated 2x in C direction;
18090N; miss; FLT-COF-1-Eclipsed; 2D; H,B,C,O; J. Am. Chem. Soc., 2018, 139, 10506-10513; none; replicated 2x in C direction;
18091N; miss; FLT-COF-1-Staggered; 2D; H,B,C,O; J. Am. Chem. Soc., 2018, 139, 10506-10513; none; replicated 2x in C direction;
18100N; miss; TP-BDDA; 2D; H,C,N,O; J. Am. Chem. Soc., 2018, 140, 1423-1427; none; replicated 2x in C direction;
18101N; miss; TP-EDDA; 2D; H,C,N,O; J. Am. Chem. Soc., 2018, 140, 1423-1427; none; replicated 2x in C direction;
18110N; miss; ILCOF-1; 2D; H,C,N; J. Am. Chem. Soc., 2018, 140, 9099-9103; none; replicated 2x in C direction;
18111N; miss; COF-921; 2D; H,C,N,S; J. Am. Chem. Soc., 2018, 140, 9099-9103; none; replicated 2x in C direction;
18112N; miss; LZU-192; 2D; H,C,N,O; J. Am. Chem. Soc., 2018, 140, 9099-9103; none; replicated 2x in C direction;
18120N; miss; 3D-IL-COF-1; 3D; H,C,N; J. Am. Chem. Soc., 2018, 140, 4494-4498; none; none;
18121N; miss; 3D-IL-COF-2; 3D; H,C,N; J. Am. Chem. Soc., 2018, 140, 4494-4498; none; none;
18122N; miss; 3D-IL-COF-3; 3D; H,C,N; J. Am. Chem. Soc., 2018, 140, 4494-4498; none; none;
