CoRE-COFs ID; CoRE-COF-v2.0 ID (Tong et al.); name; dimension; atom types; reference; duplicate found; modifications;
14100N; 059; COFBTA-PDA; 2D; H,C,N; Angew. Chem. Int. Ed., 2014, 53, 9564-9568; none; replicated 2x in C direction;
15000N; 030; C2N-h2D; 2D; C,N; Nat. Commun., 2015, 6, 6486; none; replicated 2x in C direction;
15010N; 195; Py-An COF; 2D; H,C,N; Chem. Commun., 2015, 51, 10096--10098; none; alligned to xy plan, replicated 2x in C direction;
15020N; 068; CPF-1; 2D; H,C,N,O; Catal. Sci. Technol., 2015, 5, 101-104; none; alligned to xy plan, replicated 2x in C direction;
15021N; 069; CPF-2; 2D; H,C,N,O; Catal. Sci. Technol., 2015, 5, 101-104; none; alligned to xy plan, replicated 2x in C direction;
15030N; 158; NTU-COF-1; 2D; H,B,C,N,O; J. Am. Chem. Soc., 2015, 137, 1020-1023; none; replicated 2x in C direction;
15031N; 159; NTU-COF-2; 2D; H,B,C,N,O; J. Am. Chem. Soc., 2015, 137, 1020-1023; none; replicated 2x in C direction;
15040N; 203; RT-COF-1; 2D; H,B,C,O; Chem. Eur. J., 2015, 21,10666 -10670 ; none; added H on benz, replicated 2x in C direction;
15050N; 060; COF-JLU2; 2D; H,C,N,O; Chem. Eur. J., 2015, 21, 12079-12084; none; replicated 2x in C direction;
15060N; 126; HP-COF-1; 2D; H,C,N; J. Am. Chem. Soc., 2015, 137, 13772-13775; none; replicated 2x in C direction;
15061N; 127; HP-COF-2; 2D; H,C,N; J. Am. Chem. Soc., 2015, 137, 13772-13775; none; replicated 2x in C direction;
15070N; 090; 2,3-DhaTab; 2D; H,C,N,O; J. Mater. Chem. A, 2015, 3, 23664-23669; none; replicated 2x in C direction;
15071N; 091; 2,5-DhaTab; 2D; H,C,N,O; J. Mater. Chem. A, 2015, 3, 23664-23669; none; replicated 2x in C direction;
15072N; 094; 2,5-DhaTph; 2D; H,C,N,O; J. Mater. Chem. A, 2015, 3, 23664-23669; none; alligned to xy plan, replicated 2x in C direction;
15080N; 125; HO2C-H2P-COF; 2D; H,B,C,N,O; Angew. Chem. Int. Ed., 2015, 54, 2986-2990; none; alligned to xy plan, replicated 2x in C direction;
15081N; 166; HO-H2P-COF; 2D; H,C,N,O; Angew. Chem. Int. Ed., 2015, 54, 2986-2990; none; removed H from the porphirine, replicated 2x in C direction;
15090N; 093; 2,3-DhaTph; 2D; H,C,N,O; Chem. Commun., 2015, 51, 310-313; none; alligned to xy plan, replicated 2x in C direction;
15091N; 100; 2,3-DmaTph; 2D; H,C,N,O; Chem. Commun., 2015, 51, 310-313; none; alligned to xy plan, replicated 2x in C direction;
15100N; 229; TfpBDH; 2D; H,C,N,O; Chem. Sci., 2015, 6, 3931-3939; none; replicated 2x in C direction;
15101N; 250; TpBDH; 2D; H,C,N,O; Chem. Sci., 2015, 6, 3931-3939; none; replicated 2x in C direction;
15110N; 015; AEM-COF-1; 2D; H,B,C,O; Chem. Sci., 2015, 6, 4049-4053; none; replicated 2x in C direction;
15111N; 016; AEM-COF-2; 2D; H,B,C,O; Chem. Sci., 2015, 6, 4049-4053; none; replicated 2x in C direction;
15120N; 065; COF-SDU1; 2D; H,C,N,O; RSC Adv., 2015, 5, 41017-41024; none; replicated 2x in C direction;
15130N; 085; DBA-COF 1; 2D; H,B,C,O; Chem. Mater., 2015, 27, 6169-6172; none; replicated 2x in C direction;
15131N; 086; DBA-COF 2; 2D; H,B,C,O; Chem. Mater., 2015, 27, 6169-6172; none; replicated 2x in C direction;
15140N; 092; DhaTab; 2D; H,C,N; Nat. Commun., 2015, 6, 6786; none; replicated 2x in C direction;
15150N; 124; HCC-H2P-COF; 2D; H,C,N,O; J. Am. Chem. Soc., 2015, 137, 7079-7082; none; replicated 2x in C direction;
15160N; 134; iPrTAPB-TFP; 2D; H,C,N,O; J. Mater. Chem. C, 2015, 3, 7159-7171; none; alligned to xy plan, replicated 2x in C direction;
15161N; 135; iPrTAPB-TFPB; 2D; H,C,N; J. Mater. Chem. C, 2015, 3, 7159-7171; none; replicated 2x in C direction;
15162N; 220; TAPB-TFP; 2D; H,C,N,O; J. Mater. Chem. C, 2015, 3, 7159-7171; none; alligned to xy plan, replicated 2x in C direction;
15163N; 221; TAPB-TFPB; 2D; H,C,N; J. Mater. Chem. C, 2015, 3, 7159-7171; none; replicated 2x in C direction;
15170N; 123; HBC-COF; 2D; H,C,N; Nat. Commun., 2015, 6, 7786; none; replicated 2x in C direction;
15171N; 128; HPB-COF; 2D; H,C,N; Nat. Commun., 2015, 6, 7786; none; replicated 2x in C direction;
15180N; 087; DCuPc-ANDI-COF; 2D; H,B,C,N,O,Cu; J. Am. Chem. Soc., 2015, 137, 7817-7827; none; replicated 2x in C direction;
15181N; 088; DCuPc-APDI-COF; 2D; H,B,C,N,O,Cu; J. Am. Chem. Soc., 2015, 137, 7817-7827; none; replicated 2x in C direction;
15182N; 089; DCuPc-APyrDI-COF; 2D; H,B,C,N,O,Cu; J. Am. Chem. Soc., 2015, 137, 7817-7827; none; replicated 2x in C direction;
15183N; 108; DNiPc-ANDI-COF; 2D; H,B,C,N,O,Ni; J. Am. Chem. Soc., 2015, 137, 7817-7827; none; replicated 2x in C direction;
15184N; 109; DNiPc-APDI-COF; 2D; H,B,C,N,O,Ni; J. Am. Chem. Soc., 2015, 137, 7817-7827; none; replicated 2x in C direction;
15185N; 110; DNiPc-APyrDI-COF; 2D; H,B,C,N,O,Ni; J. Am. Chem. Soc., 2015, 137, 7817-7827; none; replicated 2x in C direction;
15186N; 112; DTP-APyrDI-COF; 2D; H,B,C,N,O; J. Am. Chem. Soc., 2015, 137, 7817-7827; none; replicated 2x in C direction;
15190N; 017; ATFG-COF; 2D; H,C,N,O; Chem. Mater., 2015, 27, 7874-7881; none; replicated 2x in C direction;
15200N; 179; PI-COF-4-2P; 3D; H,C,N,O; J. Am. Chem. Soc., 2015, 137, 8352-8355; none; none;
15201N; 180; PI-COF-5; 3D; H,C,N,O; J. Am. Chem. Soc., 2015, 137, 8352-8355; none; none;
15202N; 181; PI-COF-5-2P; 3D; H,C,N,O; J. Am. Chem. Soc., 2015, 137, 8352-8355; none; none;
15210N; 174; Ph-An-COF; 2D; H,B,C,O; Angew. Chem. Int. Ed., 2015, 54, 8704-8707; none; replicated 2x in C direction;
15211N; 175; Ph-AnCD-COF; 2D; H,B,C,O; Angew. Chem. Int. Ed., 2015, 54, 8704-8707; none; replicated 2x in C direction;
16000N; 198; Py-DBA-COF-1; 2D; H,B,C,O; J. Am. Chem. Soc., 2016, 138, 10120-10123; none; replicated 2x in C direction;
16001N; 199; Py-DBA-COF-2; 2D; H,B,C,O; J. Am. Chem. Soc., 2016, 138, 10120-10123; none; replicated 2x in C direction;
16002N; 201; Py-MV-DBA-COF; 2D; H,B,C,O; J. Am. Chem. Soc., 2016, 138, 10120-10123; none; replicated 2x in C direction;
16010N; 019; BBO-COF-1; 2D; H,B,C,O; ACS Macro Lett., 2016, 5, 1055-1058; none; replicated 2x in C direction;
16011N; 020; BBO-COF-2; 2D; H,B,C,O; ACS Macro Lett., 2016, 5, 1055-1058; none; replicated 2x in C direction;
16020N; 062; COF-JLU4; 2D; H,C,N,O; Chem. Commun., 2016, 52, 11088-11091; none; replicated 2x in C direction;
16030N; 138; LZU-70; 2D; H,C,N; J. Am. Chem. Soc., 2016, 138, 11489-11492; none; replicated 2x in C direction;
16031N; 139; LZU-72; 2D; H,C,N; J. Am. Chem. Soc., 2016, 138, 11489-11492; none; replicated 2x in C direction;
16032N; 140; LZU-76; 2D; H,C,N,O; J. Am. Chem. Soc., 2016, 138, 11489-11492; none; replicated 2x in C direction;
16040N; 209; SIOC-COF-5; 2D; H,C,N; Chem. Commun., 2016, 52, 11704-11707; none; alligned to xy plan, replicated 2x in C direction;
16041N; 210; SIOC-COF-6; 2D; H,C,N; Chem. Commun., 2016, 52, 11704-11707; none; replicated 2x in C direction;
16042N; 211; SIOC-COF-7; 2D; H,C,N; Chem. Commun., 2016, 52, 11704-11707; none; replicated 2x in C direction;
16050N; 141; MC-COF-NiPc-E1E7; 2D; H,B,C,N,O,Ni; Nat. Commun., 2016, 7, 12325; none; replicated 2x in C direction;
16051N; 142; MC-COF-TP-E11E22; 2D; H,B,C,N,O,S; Nat. Commun., 2016, 7, 12325; none; replicated 2x in C direction;
16052N; 143; MC-COF-TP-E11E71; 2D; H,B,C,N,O,S; Nat. Commun., 2016, 7, 12325; none; alligned to xy plan, replicated 2x in C direction;
16053N; 144; MC-COF-TP-E11E72; 2D; H,B,C,O; Nat. Commun., 2016, 7, 12325; none; replicated 2x in C direction;
16054N; 145; MC-COF-TP-E12E21; 2D; H,B,C,N,O,S; Nat. Commun., 2016, 7, 12325; none; replicated 2x in C direction;
16055N; 146; MC-COF-TP-E12E71; 2D; H,B,C,O; Nat. Commun., 2016, 7, 12325; none; replicated 2x in C direction;
16056N; 147; MC-COF-TP-E1E3E7; 2D; H,B,C,O,S; Nat. Commun., 2016, 7, 12325; none; alligned to xy plan, replicated 2x in C direction;
16057N; 148; MC-COF-TP-E22E31; 2D; H,B,C,N,O,S; Nat. Commun., 2016, 7, 12325; none; replicated 2x in C direction;
16058N; 149; MC-COF-TP-E22E41; 2D; H,B,C,N,O,S; Nat. Commun., 2016, 7, 12325; none; alligned to xy plan, replicated 2x in C direction;
16060N; 032; CCOF-1; 2D; H,C,N,O; J. Am. Chem. Soc., 2016, 138, 12332-12335; none; none;
16061N; 033; CCOF-2; 2D; H,C,N,O; J. Am. Chem. Soc., 2016, 138, 12332-12335; none; none;
16070N; 164; NUS-3; 2D; H,C,N,O; Chem. Mater., 2016, 28, 1277-1285; none; replicated 2x in C direction;
16080N; 028; BW-COF-AA; 2D; H,C,N; ACS Macro Lett., 2016, 5, 1348-1352; none; alligned to xy plan, replicated 2x in C direction;
16081N; 029; BW-COF-AB; 2D; H,C,N; ACS Macro Lett., 2016, 5, 1348-1352; none; alligned to xy plan;
16082N; 121; HB-COF-AA; 2D; H,C,N; ACS Macro Lett., 2016, 5, 1348-1352; none; replicated 2x in C direction;
16083N; 122; HB-COF-AB; 2D; H,C,N; ACS Macro Lett., 2016, 5, 1348-1352; none; alligned to xy plan;
16090N; 228; TfBD; 2D; H,B,C,O; Angew. Chem. Int. Ed., 2016, 55, 13979 -13984 ; none; replicated 2x in C direction;
16100N; 151; N3-COF; 2D; H,C,N; J. Mater. Chem. A, 2016, 4, 14106-14110; none; replicated 2x in C direction;
16110N; 096; DL-COF-1-bor; 3D; H,B,C,N,O; J. Am. Chem. Soc., 2016, 138, 14783-14788; none; none;
16111N; 097; DL-COF-1-ctn; 3D; H,B,C,N,O; J. Am. Chem. Soc., 2016, 138, 14783-14788; none; none;
16112N; 098; DL-COF-2-bor; 3D; H,B,C,N,O,F; J. Am. Chem. Soc., 2016, 138, 14783-14788; none; none;
16113N; 099; DL-COF-2-ctn; 3D; H,B,C,N,O,F; J. Am. Chem. Soc., 2016, 138, 14783-14788; none; none;
16120N; 259; TpPa-Py; 2D; H,C,N,O; Chem. Mater., 2016, 28, 1489-1494; none; alligned to xy plan, replicated 2x in C direction;
16121N; 260; TpPa-SO3H-Py; 2D; H,C,N,O,S; Chem. Mater., 2016, 28, 1489-1494; none; alligned to xy plan, replicated 2x in C direction;
16130N; 155; Ni-DBA-3D-COF-bor; 3D; H,B,C,O,Ni; J. Am. Chem. Soc., 2016, 138, 15134-15137; none; none;
16131N; 156; Ni-DBA-3D-COF-ctn; 3D; H,B,C,O,Ni; J. Am. Chem. Soc., 2016, 138, 15134-15137; none; none;
16140N; 008; 4PE-1P-oxi; 2D; H,C,N,O; J. Am. Chem. Soc., 2016, 138, 15519-15522; none; H added on N, replicated 2x in C direction;
16141N; 241; TPB-TP-COF-oxi; 2D; H,C,N,O; J. Am. Chem. Soc., 2016, 138, 15519-15522; none; replicated 2x in C direction;
16142N; 242; TPB-TP-COF; 2D; H,C,N; J. Am. Chem. Soc., 2016, 138, 15519-15522; none; replicated 2x in C direction;
16150N; 084; DaTP; 2D; H,C,N,O; Angew. Chem. Int. Ed., 2016, 55, 15604 -15608; none; replicated 2x in C direction;
16160N; 131; IISERP-COF3; 2D; H,C,N,O; Adv. Energy Mater., 2016, 6, 1601189 ; none; alligned to xy plan, replicated 2x in C direction;
16170N; 187; Py-1P COF; 2D; H,C,N; J. Am. Chem. Soc., 2016, 138, 16703-16710 ; none; replicated 2x in C direction;
16171N; 188; Py-1PF COF; 2D; H,C,N,F; J. Am. Chem. Soc., 2016, 138, 16703-16710 ; none; replicated 2x in C direction;
16172N; 192; Py-2PE COF; 2D; H,C,N; J. Am. Chem. Soc., 2016, 138, 16703-16710 ; none; replicated 2x in C direction;
16173N; 193; Py-3PEBTD COF; 2D; H,C,N,S; J. Am. Chem. Soc., 2016, 138, 16703-16710 ; none; replicated 2x in C direction;
16174N; 194; Py-3PE COF; 2D; H,C,N,O; J. Am. Chem. Soc., 2016, 138, 16703-16710 ; none; replicated 2x in C direction;
16180C; 129; ICOF-1; 2D; H,B,C,N,O; Angew. Chem. Int. Ed., 2016, 55, 1737-1741; none; alligned to xy plan, replicated 2x in C direction;
16181C; 130; ICOF-2; 2D; H,Li,B,C,O; Angew. Chem. Int. Ed., 2016, 55, 1737-1741; none; replicated 2x in C direction;
16190N; 207; SIOC-COF-3-AB; 2D; H,C,N; Chem. Eur. J., 2016, 22, 17784 - 17789; none; none;
16191N; 208; SIOC-COF-4-AB; 2D; H,C,N; Chem. Eur. J., 2016, 22, 17784 - 17789; none; none;
16200N; 160; NUS-10; 2D; H,C,N,O,S; ACS Appl. Mater. Inter., 2016, 8, 18505-18512; none; replicated 2x in C direction;
16201N; 165; NUS-9; 2D; H,C,N,O,S; ACS Appl. Mater. Inter., 2016, 8, 18505-18512; none; replicated 2x in C direction;
16210N; 222; Tb-DANT-COF; 2D; H,C,N,O; J. Mater. Chem. A, 2016, 4, 18621-18627; none; replicated 2x in C direction;
16211N; 236; Tp-DANT-COF; 2D; H,C,N,O; J. Mater. Chem. A, 2016, 4, 18621-18627; none; replicated 2x in C direction;
16220N; 066; COF-TpAzo; 2D; H,C,N,O; J. Chem. Eng. Data., 2016, 61, 1904-1909; none; replicated 2x in C direction;
16230N; 268; TRIPTA; 2D; H,C,N,O; RSC Adv., 2016, 6, 28047-28054; none; replicated 2x in C direction;
16240C; 265; TpTG-Br; 2D; H,C,N,O,Br; J. Am. Chem. Soc., 2016, 138, 2823-2828; none; replicated 2x in C direction;
16241C; 266; TpTG-Cl; 2D; H,C,N,O,Cl; J. Am. Chem. Soc., 2016, 138, 2823-2828; none; replicated 2x in C direction;
16242C; 267; TpTG-I; 2D; H,C,N,O,I; J. Am. Chem. Soc., 2016, 138, 2823-2828; none; replicated 2x in C direction;
16250N; 006; 3D-Py-COF; 3D; H,C,N; J. Am. Chem. Soc., 2016, 138, 3302-3305; none; none;
16251N; 007; 3D-Py-COF-2P; 3D; H,C,N; J. Am. Chem. Soc., 2016, 138, 3302-3305; none; none;
16260N; 064; COF-LZU8; 2D; H,C,N,O,S; J. Am. Chem. Soc., 2016, 138, 3031-3037; none; replicated 2x in C direction;
16270N; 009; 4PE-1P; 2D; H,C,N; Nat. Chem., 2016, 8, 310-316; none; replicated 2x in C direction;
